"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ATmega1","1","~","","","","my_project:ATmega328-PAU",""
"C1,C2","2","12pF","","","","my_project:capacitor",""
"C3,C4,C7","3","100nF","","","","my_project:capacitor",""
"C6","1","1uF","","","","my_project:capacitor",""
"D1","1","Green","","","","my_project:led",""
"D2","1","Red","","","","my_project:led",""
"GND1,GND2,GND3,GND4,GND5,GND6,GND7,GND8,VCC1,VCC2,VCC3,VCC4","12","~","","Excluded from BOM","Excluded from board","",""
"J1","1","~","","","","my_project:connector_1",""
"J2","1","~","","","","my_project:connector_2",""
"J3","1","~","","","","my_project:connector_3",""
"R1","1","330","","","","my_project:Resistor",""
"R2","1","~","","","","my_project:Resistor",""
"R3","1","10K","","","","my_project:Resistor",""
"SW1","1","SW_Push","","","","my_project:switch",""
"Y1","1","16MHz","","","","my_project:Crystal",""
